Student_ID,Test_ID,parental_level_of_education,lunch_plan,test_preparation_course
83,56A440B24863,1.00,2.00,NONE
164,226840CABC14,1.00,2.00,NONE
905,CB23C2947084,1.00,2.00,NONE
454,A4FD384F7256,1.00,1.00,NONE
150,49B485B1DFF6,1.00,2.00,NONE
715,1F5C0DB56347,1.00,2.00,NONE
3,493EFBA51280,1.00,1.00,NONE
223,168F35937296,1.00,1.00,NONE
76,E7436BC28858,1.00,1.00,NONE
40,F43FDFEB98FA,1.00,2.00,NONE
383,6CD0DF673D58,1.00,2.00,NONE
2,592288068D0E,1.00,2.00,NONE
278,3D8DC159614F,1.00,2.00,NONE
274,C3061BF79477,1.00,2.00,NONE
330,C99E2A998253,1.00,2.00,NONE
118,19722F5952DD,1.00,2.00,NONE
527,A3CCABFB4B5C,1.00,2.00,NONE
709,2B3E643FA766,1.00,2.00,NONE
384,DC16EE01489C,1.00,1.00,NONE
308,FC51978DBF62,1.00,2.00,NONE
930,7E12EF45845C,1.00,2.00,NONE
98,E31B8A46282D,1.00,2.00,NONE
668,BDB1E4A411D2,1.00,1.00,NONE
97,CC1C1725F728,1.00,2.00,NONE
145,7CC1CEAE852E,1.00,2.00,NONE
341,9E1BAE3EFE7D,1.00,1.00,NONE
772,21D71B2E128A,1.00,2.00,NONE
19,377BA9A6E418,1.00,1.00,NONE
58,9AB24E51F16A,1.00,2.00,NONE
457,9CE51413C045,1.00,1.00,NONE
39,52CD9A8E44CB,1.00,2.00,NONE
295,1C1ADA4E9E7F,1.00,2.00,NONE
129,99610D179BB1,1.00,2.00,NONE
643,738618B83B57,1.00,2.00,NONE
176,1EFC92B0F8CA,1.00,2.00,NONE
465,FEE71DB64712,1.00,2.00,NONE
205,6578EB41D207,1.00,1.00,NONE
795,959495040897,1.00,1.00,NONE
749,D2CD4A9C4E2C,1.00,1.00,NONE
638,771D0BC4FB5E,1.00,2.00,NONE
125,87CA803A0EA2,1.00,1.00,NONE
190,605AC17D0204,1.00,2.00,NONE
739,A1099A67BA1C,1.00,2.00,NONE
17,D132A9371F5A,1.00,1.00,NONE
600,950C36E7E880,1.00,2.00,NONE
25,00E7C83E7D03,1.00,2.00,NONE
314,DF7E31538559,1.00,2.00,NONE
221,4322895D34FF,1.00,2.00,NONE
675,E955849C4B86,1.00,2.00,NONE
354,240766E80C3D,1.00,2.00,NONE
28,62475ADCE79B,1.00,1.00,NONE
62,FACB636DFE8B,1.00,2.00,NONE
72,48547B1FCFE0,1.00,2.00,NONE
882,2F413E4EE22D,1.00,2.00,NONE
106,7871AA9DD084,1.00,2.00,NONE
586,72E5D0E6DA12,1.00,2.00,NONE
708,F8E503B20A19,1.00,2.00,NONE
710,E99ED75412EA,1.00,1.00,NONE
170,4403A800FA0C,1.00,2.00,NONE
22,EA35CA02E260,1.00,2.00,NONE
288,86E3CAC49AB9,1.00,2.00,NONE
509,74FBBB154C39,1.00,2.00,NONE
331,8CC38609E32B,2.00,2.00,NONE
671,7D39374EC805,2.00,1.00,NONE
1,4C25D2D418EC,2.00,2.00,NONE
625,22AF361EB8BC,2.00,2.00,NONE
564,E2258E4F09CA,2.00,2.00,NONE
521,E64E600928E1,2.00,2.00,NONE
648,98C57B1D2E5C,2.00,2.00,NONE
123,3005C243B257,2.00,2.00,NONE
580,B944854DBA45,2.00,2.00,NONE
110,6A89E12B5DEC,2.00,2.00,NONE
560,12B92F8CBA64,2.00,2.00,NONE
481,7676195ABF74,2.00,2.00,NONE
181,CD1065DD9120,2.00,2.00,NONE
194,7D90E0B4EBDF,2.00,1.00,NONE
468,434FE647F2B5,2.00,2.00,NONE
508,D6B2B541E861,2.00,2.00,NONE
774,CE48DF40E321,2.00,1.00,NONE
329,E6B17B9C62AB,2.00,2.00,NONE
464,D128D6CBA66A,2.00,2.00,NONE
270,45D15C5E203A,2.00,1.00,NONE
844,C01EAFEA58A1,2.00,2.00,NONE
644,680CF5F7AEEF,2.00,2.00,NONE
6,90F347125D27,2.00,1.00,NONE
856,28C179918559,2.00,1.00,NONE
360,03C440C5199C,2.00,1.00,NONE
61,BF0DAF397AD5,2.00,1.00,NONE
171,B03A186B6F6A,2.00,1.00,NONE
248,E7AFE8B0FC13,2.00,1.00,NONE
447,7BB547276B1E,2.00,1.00,NONE
158,8D33C0362397,2.00,1.00,NONE
364,00A29B9734B4,2.00,2.00,NONE
132,B6216E2EADCE,2.00,1.00,NONE
21,315438036B3A,2.00,1.00,NONE
365,F54D045537F4,2.00,2.00,NONE
336,1329C72D8787,2.00,1.00,NONE
674,0409A342D107,2.00,1.00,NONE
541,1AF90CE789E2,2.00,2.00,NONE
305,F3003375BB3D,2.00,2.00,NONE
157,BACB506B8512,2.00,1.00,NONE
75,DEFE4FA15059,2.00,1.00,NONE
13,9EE483033922,2.00,2.00,NONE
188,75FFFC0FB397,2.00,2.00,NONE
189,CED46B7954A8,2.00,2.00,NONE
804,42EAD879A019,2.00,2.00,NONE
629,11773EC36EC1,2.00,2.00,NONE
196,514359F1B74D,2.00,1.00,NONE
448,ECC06C13AD29,2.00,1.00,NONE
438,B0EEAAF4FAEF,2.00,2.00,NONE
575,9DD832A8F1AA,2.00,2.00,NONE
357,C0E6B3F5D132,2.00,1.00,NONE
817,7A26BADAAED8,2.00,2.00,NONE
954,A04586F90A7E,2.00,2.00,NONE
380,EE9D165109EA,2.00,1.00,NONE
540,DA30D2997CD0,2.00,2.00,NONE
647,C3A1689DC962,2.00,2.00,NONE
119,5F73E8A5C12D,2.00,1.00,NONE
111,28017C810D08,2.00,1.00,NONE
343,DAF574DC1DCC,2.00,1.00,NONE
251,15C2005F8BE6,2.00,1.00,NONE
649,1C0C676F6404,2.00,1.00,NONE
744,81EA5AACAE62,2.00,2.00,NONE
919,0161F5927B78,2.00,2.00,NONE
646,0C2C7A7D9F06,2.00,2.00,NONE
14,1065E531486A,2.00,2.00,NONE
140,5EC54A3634C4,2.00,1.00,NONE
231,5C6E4E772A46,2.00,1.00,NONE
624,B0F3DAF53680,2.00,1.00,NONE
518,D63633E80D95,2.00,2.00,NONE
88,51A8CC09F9FF,2.00,2.00,NONE
437,7AC55AD8DB89,2.00,2.00,NONE
45,B3FC85821768,2.00,1.00,NONE
187,1761EAEB10A9,2.00,2.00,NONE
791,5696B5A4EE70,2.00,2.00,NONE
680,C47F958ADF64,2.00,1.00,NONE
728,B3852DFAC7E0,2.00,2.00,NONE
488,67408F770515,2.00,2.00,NONE
101,EAD8E09DFA79,2.00,1.00,NONE
224,D2FBBE842488,2.00,1.00,NONE
787,2DA879154519,2.00,2.00,NONE
326,451048AA3C25,2.00,1.00,NONE
756,C44DAB2103DD,2.00,2.00,NONE
757,D3FB1811A60B,2.00,1.00,NONE
66,ECFFA2F3516B,2.00,2.00,NONE
520,550757E1C0B3,2.00,2.00,NONE
590,FE6802584ED3,2.00,2.00,NONE
760,BF55A2C58A1B,2.00,2.00,NONE
634,76FF6E4F240C,2.00,2.00,NONE
26,FDDB4FCD74E7,2.00,2.00,NONE
115,BB3CCFB22F7B,2.00,1.00,NONE
524,94234B8A48F4,2.00,2.00,NONE
611,20D059A58CAA,2.00,1.00,NONE
775,13BE594AEFDB,2.00,2.00,NONE
285,F09D1FCF3966,2.00,1.00,NONE
122,C8F0B3D5312C,2.00,1.00,NONE
659,7286040E7974,2.00,2.00,NONE
317,FB92FD5CDD33,2.00,2.00,NONE
385,D834CCCC7EAE,2.00,1.00,NONE
347,EBFF21605CC6,2.00,2.00,NONE
425,9ABD506FE024,2.00,2.00,NONE
695,82B43EA3DA70,2.00,2.00,NONE
38,6B156B454D40,2.00,2.00,NONE
684,C1F066AD475D,2.00,2.00,NONE
120,157D23B47BBF,2.00,2.00,NONE
404,078C9D6C7846,2.00,2.00,NONE
246,45C2B209B3B3,2.00,2.00,NONE
131,36FEF26338A0,2.00,1.00,NONE
186,15BAA7386610,2.00,1.00,NONE
146,3BDD8AD15E95,2.00,1.00,NONE
620,F0714931CC06,2.00,2.00,NONE
244,2397396066FF,2.00,2.00,NONE
915,6E62EDEEC905,2.00,2.00,NONE
738,6B188C86D3BB,2.00,2.00,NONE
4,9508878DBECD,2.00,2.00,NONE
8,26663929B9D5,2.00,1.00,NONE
628,5C998F62377E,2.00,1.00,NONE
9,2DF8539DE639,2.00,1.00,NONE
558,723E537F641E,2.00,1.00,NONE
389,760EE84C6AA7,2.00,2.00,NONE
441,36D5545BFA4D,3.00,1.00,NONE
532,FDF6FE283A49,3.00,2.00,NONE
545,419BAB44F9B4,3.00,2.00,NONE
815,5A45CFCB4819,3.00,1.00,NONE
662,F50EFA167C35,3.00,2.00,NONE
156,6FD841149FEC,3.00,1.00,NONE
588,21D6F8F21AA2,3.00,1.00,NONE
34,338D452B1F05,3.00,2.00,NONE
450,22DD464BA2AB,3.00,1.00,NONE
729,8F0644B7C78E,3.00,2.00,NONE
85,EDE430AD39D6,3.00,1.00,NONE
42,9825D0BC400A,3.00,1.00,NONE
116,61A8766708E7,3.00,2.00,NONE
315,29D5420C7B8E,3.00,2.00,NONE
346,22568EDE52C4,3.00,1.00,NONE
519,C742FB8EA4AB,3.00,1.00,NONE
491,15105D5AE66F,3.00,1.00,NONE
691,FDFB401FB111,3.00,2.00,NONE
825,77AF04C9984F,3.00,2.00,NONE
201,A49C2A63E851,3.00,2.00,NONE
113,FAB8D651298F,3.00,1.00,NONE
525,E38759EE6B1A,3.00,1.00,NONE
480,F83EBC9F4C13,3.00,1.00,NONE
292,95FE8B6700A3,3.00,1.00,NONE
162,A7522D288698,3.00,1.00,NONE
814,B11DB932EAF4,3.00,2.00,NONE
640,EF10567A6D03,3.00,1.00,NONE
792,5735592E2F04,3.00,2.00,NONE
446,00286B0CC7E8,3.00,2.00,NONE
900,B5A0C46A7724,3.00,1.00,NONE
136,9E9A6347A464,3.00,2.00,NONE
286,6F91658B6649,3.00,2.00,NONE
641,9C50571B35D7,3.00,1.00,NONE
975,7949C5218FD5,3.00,2.00,NONE
93,E0B7E82AB286,3.00,2.00,NONE
228,A5A44CFE114D,3.00,2.00,NONE
473,76BB9D890DD5,3.00,2.00,NONE
321,F407302B4506,3.00,2.00,NONE
781,C8744326ED44,3.00,2.00,NONE
692,8436CBC3C15C,3.00,2.00,NONE
661,66F1CCAB0182,3.00,2.00,NONE
773,9E51BE31D56D,3.00,1.00,NONE
567,2A238AE66A67,3.00,2.00,NONE
673,BA41D2DBD884,3.00,2.00,NONE
909,1AB55D32677B,3.00,2.00,NONE
916,DAADC4661AC4,3.00,2.00,NONE
843,4A660B4E1D12,3.00,2.00,NONE
142,DE272CCB97E4,3.00,1.00,NONE
764,CA030BFFD583,3.00,2.00,NONE
824,F9B0DC5C7DF1,3.00,2.00,NONE
174,5C4D3C4A8FAF,3.00,2.00,NONE
724,CC3F9DA412EB,3.00,2.00,NONE
886,FCF3BECE85DB,3.00,2.00,NONE
968,73DB180358CD,3.00,2.00,NONE
207,FB2C3926D4EF,3.00,2.00,NONE
299,4F1D3DD077AD,3.00,2.00,NONE
166,C91925B8883D,3.00,1.00,NONE
80,C8D9B82062BF,3.00,1.00,NONE
466,22E7A1158638,3.00,2.00,NONE
876,6E39B11464EC,3.00,2.00,NONE
143,71056FB2AD17,3.00,2.00,NONE
12,1272940F8AEF,3.00,2.00,NONE
327,5DF8FAAFB299,3.00,2.00,NONE
566,EA1892100CDF,3.00,2.00,NONE
200,EF35905E7B1F,3.00,2.00,NONE
563,79C116F98641,3.00,2.00,NONE
409,922109685F29,3.00,1.00,NONE
417,05A1EBB67463,3.00,1.00,NONE
796,6FFE4CE605E7,3.00,2.00,NONE
29,619F8FAA4668,3.00,2.00,NONE
74,4A92F11EF803,3.00,1.00,NONE
333,9F4D737752D8,3.00,1.00,NONE
502,6FC0071A7924,3.00,1.00,NONE
732,CFA5E0229773,3.00,2.00,NONE
987,BC3151E8C08B,3.00,2.00,NONE
220,0122E35F1919,3.00,2.00,NONE
60,FCD19E14F00F,3.00,1.00,NONE
411,2E3EA6868028,3.00,2.00,NONE
153,411FA5DF14A0,3.00,1.00,NONE
422,1B88E8DF360F,3.00,1.00,NONE
141,1E4760172997,3.00,1.00,NONE
431,8F98FAED8372,3.00,2.00,NONE
397,ACCB4E96A23C,3.00,2.00,NONE
281,4739DDD476DC,3.00,2.00,NONE
394,5D962802996C,3.00,1.00,NONE
133,5E330507B99D,3.00,1.00,NONE
363,394A549666A0,3.00,2.00,NONE
301,7F5A13CFBDA0,3.00,1.00,NONE
139,F995C3B84455,3.00,2.00,NONE
226,589C6B138C1A,3.00,2.00,NONE
490,32B495DE2EE2,3.00,1.00,NONE
973,9B1A3F4C18BD,3.00,2.00,NONE
238,75098DACE4FD,3.00,1.00,NONE
130,515A86600BEB,3.00,2.00,NONE
961,694905FF027C,3.00,2.00,NONE
184,7835B3AF6B18,3.00,1.00,NONE
718,0E5CF28C44E4,3.00,2.00,NONE
374,67986BFFBF51,3.00,2.00,NONE
924,0EF3C5297A89,3.00,2.00,NONE
770,CCFC6B4B6798,3.00,1.00,NONE
112,165285871EF4,3.00,2.00,NONE
311,A9CCF5316DB5,3.00,1.00,NONE
556,F5BF6241319E,3.00,1.00,NONE
91,AB0D7FB833BB,3.00,1.00,NONE
353,145B74D5CDD6,3.00,2.00,NONE
771,8A8F66A1F44A,3.00,2.00,NONE
702,CB25069087C9,3.00,2.00,NONE
482,BD27CE6F9E0E,3.00,2.00,NONE
261,C81E93B1C0AC,3.00,2.00,NONE
449,48308204DEAB,3.00,2.00,NONE
208,8D0AD0B0F306,3.00,2.00,NONE
403,E93F19AAA1E1,3.00,2.00,NONE
720,39719261D1BF,3.00,2.00,NONE
918,20C92DB730F1,3.00,1.00,NONE
180,459116B06019,3.00,2.00,NONE
51,7811A6F2B2B7,3.00,2.00,NONE
210,E73A11C8FA77,3.00,1.00,NONE
707,CB6391C19F30,3.00,1.00,NONE
368,D40F05782253,3.00,2.00,NONE
606,AA8CD3D4EF3A,3.00,2.00,NONE
296,D38F05E656BA,3.00,2.00,NONE
218,9555F6ACDE13,3.00,2.00,NONE
214,5E8E25E0E08D,3.00,2.00,NONE
435,0D2E9EB0A950,3.00,1.00,NONE
59,0A4DFCB22E3E,3.00,2.00,NONE
250,06F57C0CE294,3.00,2.00,NONE
267,267964940168,3.00,1.00,NONE
440,C4EE54CE9551,3.00,2.00,NONE
154,B40031E14282,3.00,1.00,NONE
35,972D3C8707CB,3.00,1.00,NONE
178,F62CEF9005D6,3.00,1.00,NONE
534,9DDCF587CCEB,3.00,1.00,NONE
393,27F80CDA66D5,3.00,2.00,NONE
46,A2C38CA3E744,3.00,2.00,NONE
373,81767BB9205A,3.00,1.00,NONE
743,D80CEC6DAF4C,3.00,2.00,NONE
623,94975EB1D5FF,3.00,1.00,NONE
538,FD9405EDC3A4,3.00,2.00,NONE
90,2F36BFFD67B4,3.00,1.00,NONE
591,40AC24919374,3.00,2.00,NONE
526,43E44C1EBD17,3.00,1.00,NONE
866,2628B6C73823,3.00,1.00,NONE
565,211BCA3E5FEE,3.00,2.00,NONE
574,9DBF6C7E95C5,3.00,2.00,NONE
191,736B4EA905FB,3.00,2.00,NONE
869,A68B565F7563,3.00,2.00,NONE
57,4AE08C879D70,3.00,2.00,NONE
459,C0FFC751B751,3.00,1.00,NONE
589,C9D5EA88E5F8,3.00,2.00,NONE
568,DB0C9DBC1132,4.00,2.00,NONE
679,E4D12A1EC897,4.00,2.00,NONE
54,141E27304EDF,4.00,2.00,NONE
276,920E90292BFF,4.00,1.00,NONE
455,DCBC3F1A9843,4.00,2.00,NONE
880,AC24B8F7F056,4.00,2.00,NONE
209,8618601C8824,4.00,1.00,NONE
335,3369487B6030,4.00,1.00,NONE
745,D3A656E62F7B,4.00,1.00,NONE
489,6D3F608FE710,4.00,1.00,NONE
406,63188317312F,4.00,1.00,NONE
175,7497EC3330F0,4.00,1.00,NONE
134,395856098203,4.00,1.00,NONE
807,885AFA4179F4,4.00,2.00,NONE
104,E18AB12AB162,4.00,2.00,NONE
704,3B399EA04CF2,4.00,1.00,NONE
355,2387ECDB2D21,4.00,2.00,NONE
920,8790EA6B8CDE,4.00,2.00,NONE
151,172F932A5471,4.00,2.00,NONE
427,9495216FD8AA,4.00,1.00,NONE
55,308CB08FF368,4.00,1.00,NONE
219,A2FFFCBD3D99,4.00,2.00,NONE
573,C109B259FCA1,4.00,2.00,NONE
579,92CF2A874655,4.00,2.00,NONE
420,D3B75D5A27F7,4.00,2.00,NONE
921,FF22577E45D8,4.00,2.00,NONE
32,975C897407C7,4.00,1.00,NONE
955,6EE914FC1236,4.00,2.00,NONE
855,70318659DA49,4.00,2.00,NONE
816,A72A4B827F1F,4.00,2.00,NONE
65,951579EA153B,4.00,2.00,NONE
717,5E84F1380970,4.00,2.00,NONE
99,B10E0949211E,4.00,1.00,NONE
439,47391A9A8ACD,4.00,2.00,NONE
467,23498828DBAD,4.00,1.00,NONE
826,AE79A2647B1A,4.00,2.00,NONE
234,5BFE009AF2B7,4.00,1.00,NONE
712,1419793DEED9,4.00,2.00,NONE
247,61C8C5733BB5,4.00,1.00,NONE
977,845B9B607D99,4.00,2.00,NONE
569,57C7975F7905,4.00,2.00,NONE
43,B8E247196BF6,4.00,1.00,NONE
265,58F192B5E015,4.00,1.00,NONE
583,7AA894032868,4.00,1.00,NONE
338,6C4962F3F175,4.00,1.00,NONE
891,DAFE21A78436,4.00,2.00,NONE
582,89F1B077BA34,4.00,2.00,NONE
325,8C95992C1D85,4.00,2.00,NONE
782,B4252DADA10F,4.00,2.00,NONE
463,85D341012F75,4.00,2.00,NONE
444,35587BE80172,4.00,2.00,NONE
436,685E2F3C546D,4.00,1.00,NONE
578,FBAC0A9BF036,4.00,2.00,NONE
264,27C73E600CC0,4.00,1.00,NONE
686,E513901FA3C6,4.00,1.00,NONE
108,17106B3281C1,4.00,1.00,NONE
203,975B6F95D4AE,4.00,2.00,NONE
602,4058B111F4FF,4.00,2.00,NONE
957,8E407B81CF7E,4.00,2.00,NONE
515,8B0D05E5DFAB,4.00,1.00,NONE
424,39FA45B7DC20,4.00,2.00,NONE
233,1130955A6644,4.00,1.00,NONE
572,AA7E547E96F1,4.00,2.00,NONE
407,C1FE5D19F013,4.00,2.00,NONE
63,3D4C08D7EE27,4.00,2.00,NONE
78,14767BD4E13A,4.00,2.00,NONE
316,56814287F614,4.00,2.00,NONE
318,1AD236703C0A,4.00,1.00,NONE
242,9DF2F5473FA8,4.00,1.00,NONE
349,E9442F4653E3,4.00,2.00,NONE
277,1526707671A1,4.00,2.00,NONE
229,D04CD3B2E453,4.00,1.00,NONE
266,91B34C69D0A6,4.00,2.00,NONE
943,87F1C2D9475D,4.00,2.00,NONE
280,6C0FC39AFD0F,4.00,2.00,NONE
769,B0F071BE0C1D,4.00,2.00,NONE
421,2C2CADABA5B9,4.00,2.00,NONE
56,F9BB6DFB6871,4.00,1.00,NONE
298,45FE852B31C8,4.00,1.00,NONE
878,5DA75D60A08F,4.00,2.00,NONE
812,746053366BAE,4.00,1.00,NONE
523,F2A04EFE2C04,4.00,2.00,NONE
400,3806A01744EC,4.00,2.00,NONE
258,B9BA665B319A,4.00,2.00,NONE
297,9A1460731552,4.00,2.00,NONE
828,7B093209362E,4.00,2.00,NONE
212,5189D8C1F336,4.00,2.00,NONE
972,677C00429B6D,4.00,2.00,NONE
370,D4FFA9CDD071,4.00,2.00,NONE
637,CD06AE4F3639,4.00,2.00,NONE
832,2096CE6C860C,4.00,1.00,NONE
36,5E9849FC981D,4.00,1.00,NONE
37,398EDC8D7360,4.00,1.00,NONE
222,62AC5143150B,4.00,2.00,NONE
605,6CE52C7A48DE,4.00,2.00,NONE
254,E336763331F2,4.00,2.00,NONE
95,7D40083BCBC1,4.00,1.00,NONE
820,42F0AA2F9D91,4.00,2.00,NONE
497,45066AC412F5,4.00,2.00,NONE
522,621B0AA39775,4.00,1.00,NONE
239,E0C4F7D14B55,4.00,2.00,NONE
128,BFAC1D129ED3,4.00,2.00,NONE
419,BA9D19F0E1C1,4.00,2.00,NONE
369,75B650A5FA2E,4.00,2.00,NONE
805,35F14201AF59,4.00,2.00,NONE
199,278DEF78BEC1,4.00,1.00,NONE
852,0DED9F9A8E71,4.00,2.00,NONE
269,C3D918FD62E0,4.00,1.00,NONE
642,4CC92A9ECFD3,4.00,1.00,NONE
633,C29BC720D6C6,4.00,2.00,NONE
381,6470DBE6EB35,4.00,1.00,NONE
304,305E9F1AA67D,4.00,1.00,NONE
498,934D314D8F45,4.00,2.00,NONE
542,DB9A0DC0BED4,4.00,2.00,NONE
681,B8C8AA0F6A72,4.00,2.00,NONE
7,2F0C6D6AA452,4.00,1.00,NONE
512,6481B5D6B762,4.00,2.00,NONE
291,B22935154156,4.00,1.00,NONE
937,1AA86235A6D3,4.00,2.00,NONE
553,8539A389EC5D,4.00,2.00,NONE
811,F9E063FA0533,4.00,2.00,NONE
627,C13AC580A790,4.00,2.00,NONE
845,42FB56EC8C78,4.00,2.00,NONE
96,224EB4ACD536,4.00,2.00,NONE
614,888DAF19A48E,4.00,2.00,NONE
253,2FDB4F923A22,4.00,1.00,NONE
356,D297CAC662B1,4.00,2.00,NONE
284,90110B2C38E6,4.00,1.00,NONE
517,7F0F1226035E,4.00,2.00,NONE
395,8A952A2D7D1A,4.00,2.00,NONE
49,7843A89BA2D0,4.00,1.00,NONE
484,7547755F36C2,5.00,2.00,NONE
587,B77EDAA37689,5.00,2.00,NONE
283,7C711505EC7E,5.00,1.00,NONE
319,270901840C45,5.00,2.00,NONE
910,ED0E37CE9935,5.00,2.00,NONE
30,FC37FD84A71D,5.00,1.00,NONE
789,358CEF526D9E,5.00,1.00,NONE
858,788605FA78E3,5.00,2.00,NONE
159,18E9521269A3,5.00,1.00,NONE
887,6442CBCC4037,5.00,2.00,NONE
550,4A5D8A4FD2B4,5.00,2.00,NONE
185,5189121EA9A3,5.00,1.00,NONE
453,033D1D1734FE,5.00,1.00,NONE
694,5E2828C74273,5.00,2.00,NONE
306,E9A4A3D1A455,5.00,1.00,NONE
235,D271E08199D1,5.00,1.00,NONE
379,0ED9E08A488F,5.00,2.00,NONE
172,F817F2CC6CD9,5.00,2.00,NONE
759,2A3EFCBB1621,5.00,2.00,NONE
183,5336CCAB317E,5.00,2.00,NONE
510,4A1ABE7D39C9,5.00,2.00,NONE
664,C956E9858E3E,5.00,2.00,NONE
501,64A37879240B,5.00,2.00,NONE
908,CC2F6B0D91F4,5.00,2.00,NONE
650,F9994998CC67,5.00,2.00,NONE
100,A94491B61F15,5.00,2.00,NONE
599,86E579B6A0FB,5.00,1.00,NONE
225,1A9B276FB346,5.00,2.00,NONE
883,4FE1456322D6,5.00,2.00,NONE
969,2E7E5693DF2B,5.00,2.00,NONE
877,16B945B4F6A3,5.00,2.00,NONE
262,14B7CC4AEB5B,5.00,2.00,NONE
230,C27A73C1E958,5.00,1.00,NONE
48,40556FA30792,5.00,2.00,NONE
390,FEF58C35727E,5.00,1.00,NONE
412,A599129D0F26,5.00,1.00,NONE
945,56747CA55ADC,5.00,2.00,NONE
378,1032999DACF8,5.00,2.00,NONE
322,3720461F4483,5.00,1.00,NONE
742,A37DB832B74A,5.00,2.00,NONE
604,51D6F3E69095,5.00,2.00,NONE
552,619D49540715,5.00,1.00,NONE
445,4221B685538D,5.00,1.00,NONE
92,707E7440EA76,5.00,1.00,NONE
272,C995E6225DB5,5.00,1.00,NONE
803,320181ACE77A,5.00,2.00,NONE
991,60D2154DAB86,5.00,2.00,NONE
366,2885445CF71F,5.00,2.00,NONE
268,932F0D2360F8,5.00,2.00,NONE
949,5C43B9A2C33B,5.00,2.00,NONE
931,2CA5D66C2B57,5.00,2.00,NONE
124,D5340932D27E,5.00,2.00,NONE
478,54750234029D,5.00,2.00,NONE
312,92CFA0704F8C,5.00,2.00,NONE
933,94D4574C3B0D,5.00,2.00,NONE
496,FCF0690076CC,5.00,2.00,NONE
499,80EB2329985A,5.00,2.00,NONE
850,A9A1C46CCD43,5.00,2.00,NONE
836,E0648B7ECCC1,5.00,2.00,NONE
89,18F422B236A7,5.00,1.00,NONE
451,A5FB48C78B4B,5.00,2.00,NONE
195,F368AD373F48,5.00,1.00,NONE
289,ADEA1A9BDA25,5.00,2.00,NONE
581,A10DAD7189E6,5.00,2.00,NONE
206,B86511A16115,5.00,1.00,NONE
846,C5B96B45072B,5.00,1.00,NONE
211,97DA59B1F1C8,5.00,2.00,NONE
834,B7B4ACCB8AFF,5.00,2.00,NONE
711,37519D30A333,5.00,2.00,NONE
475,FABB79BBEF58,5.00,1.00,NONE
474,DD07CD125535,5.00,2.00,NONE
414,321E963F5D2A,5.00,2.00,NONE
562,50FF5F86E68D,5.00,1.00,NONE
11,C89576B45391,5.00,1.00,NONE
332,6D564E40A439,5.00,2.00,NONE
135,A02902536932,5.00,1.00,NONE
801,5DFC51D3BB3C,5.00,2.00,NONE
334,1036AB4B89A5,5.00,2.00,NONE
888,F21905D7B85A,5.00,2.00,NONE
87,6129D3AA7E7F,5.00,2.00,NONE
806,BAC092D4164D,5.00,2.00,NONE
