"student_id","math_score","reading_score","writing_score","Test_ID","Results_ID","Course_ID"
"E9C5A0CE239F",51,44,47,"E9C5A0CE239F",179,179
"F0714931CC06",85,75,74,"F0714931CC06",180,180
"36F499DE4744",48,57,55,"36F499DE4744",181,181
"EDE430AD39D6",49,45,47,"EDE430AD39D6",182,182
"AA7288A8359C",77,77,74,"AA7288A8359C",183,183
"81767BB9205A",50,58,65,"81767BB9205A",184,184
"459116B06019",56,58,55,"459116B06019",185,185
"993F208CAFA0",52,45,47,"993F208CAFA0",186,186
"67986BFFBF51",55,60,65,"67986BFFBF51",187,187
"6129D3AA7E7F",47,46,47,"6129D3AA7E7F",188,188
"CD1065DD9120",63,59,55,"CD1065DD9120",189,189
"84A35900FBAB",59,62,65,"84A35900FBAB",190,190
"61FAA8D38819",67,62,65,"61FAA8D38819",191,191
"51A8CC09F9FF",39,47,47,"51A8CC09F9FF",192,192
"BFF287E77E33",40,59,55,"BFF287E77E33",193,193
"18F422B236A7",44,47,47,"18F422B236A7",194,194
"2F36BFFD67B4",45,47,47,"2F36BFFD67B4",195,195
"5336CCAB317E",58,62,55,"5336CCAB317E",196,196
"D2FFDDE96F7B",77,79,74,"D2FFDDE96F7B",197,197
"7835B3AF6B18",54,62,55,"7835B3AF6B18",198,198
"94975EB1D5FF",62,81,74,"94975EB1D5FF",199,199
"B0F3DAF53680",56,82,74,"B0F3DAF53680",200,200
"5189121EA9A3",50,64,55,"5189121EA9A3",201,201
"15BAA7386610",58,65,55,"15BAA7386610",202,202
"22AF361EB8BC",71,68,75,"22AF361EB8BC",203,203
"8A4C29C07972",66,68,75,"8A4C29C07972",204,204
"C13AC580A790",60,69,75,"C13AC580A790",205,205
"35AF11AEA790",60,62,65,"35AF11AEA790",206,206
"1761EAEB10A9",43,51,56,"1761EAEB10A9",207,207
"5C998F62377E",61,71,75,"5C998F62377E",208,208
"1032999DACF8",51,63,65,"1032999DACF8",209,209
"11773EC36EC1",79,72,75,"11773EC36EC1",210,210
"0ED9E08A488F",73,63,65,"0ED9E08A488F",211,211
"AB0D7FB833BB",50,48,47,"AB0D7FB833BB",212,212
"75FFFC0FB397",55,52,56,"75FFFC0FB397",213,213
"EE9D165109EA",55,64,65,"EE9D165109EA",214,214
"61713BB4AFCE",78,72,75,"61713BB4AFCE",215,215
"6470DBE6EB35",50,64,65,"6470DBE6EB35",216,216
"630BB8BB6794",73,72,75,"630BB8BB6794",217,217
"E958CBC5FFF7",48,64,65,"E958CBC5FFF7",218,218
"92F0728236CC",68,73,75,"92F0728236CC",219,219
"707E7440EA76",47,48,47,"707E7440EA76",220,220
"CED46B7954A8",53,56,56,"CED46B7954A8",221,221
"605AC17D0204",58,56,56,"605AC17D0204",222,222
"E0B7E82AB286",61,50,47,"E0B7E82AB286",223,223
"C29BC720D6C6",78,75,75,"C29BC720D6C6",224,224
"8BF820548DED",46,54,47,"8BF820548DED",225,225
"76FF6E4F240C",75,75,75,"76FF6E4F240C",226,226
"C138FF071BC1",63,77,75,"C138FF071BC1",227,227
"8DD3D758A61A",76,77,75,"8DD3D758A61A",228,228
"736B4EA905FB",68,56,56,"736B4EA905FB",229,229
"6CD0DF673D58",58,65,65,"6CD0DF673D58",230,230
"CD06AE4F3639",87,78,75,"CD06AE4F3639",231,231
"DC16EE01489C",64,65,65,"DC16EE01489C",232,232
"771D0BC4FB5E",64,78,75,"771D0BC4FB5E",233,233
"D834CCCC7EAE",60,65,65,"D834CCCC7EAE",234,234
"4F8E13C5777B",86,79,75,"4F8E13C5777B",235,235
"EF10567A6D03",64,79,75,"EF10567A6D03",236,236
"9C50571B35D7",62,79,75,"9C50571B35D7",237,237
"41D102A9B781",59,66,65,"41D102A9B781",238,238
"4CC92A9ECFD3",59,79,75,"4CC92A9ECFD3",239,239
"CB0BA8AFDD70",61,66,65,"CB0BA8AFDD70",240,240
"ACE9A55708FE",76,67,65,"ACE9A55708FE",241,241
"ABD89FE93EC2",63,57,56,"ABD89FE93EC2",242,242
"760EE84C6AA7",69,68,65,"760EE84C6AA7",243,243
"738618B83B57",81,79,75,"738618B83B57",244,244
"FEF58C35727E",61,68,65,"FEF58C35727E",245,245
"254077DBC4D5",68,68,65,"254077DBC4D5",246,246
"680CF5F7AEEF",85,80,75,"680CF5F7AEEF",247,247
"BCAD2AF6F5E7",50,68,65,"BCAD2AF6F5E7",248,248
"C782923511BF",60,57,56,"C782923511BF",249,249
"27F80CDA66D5",77,69,65,"27F80CDA66D5",250,250
"7D90E0B4EBDF",45,58,56,"7D90E0B4EBDF",251,251
"F368AD373F48",32,59,56,"F368AD373F48",252,252
"2ED3BCFBF98E",81,80,75,"2ED3BCFBF98E",253,253
"5D962802996C",71,69,65,"5D962802996C",254,254
"514359F1B74D",63,60,56,"514359F1B74D",255,255
"0C2C7A7D9F06",74,80,75,"0C2C7A7D9F06",256,256
"C3A1689DC962",87,82,75,"C3A1689DC962",257,257
"98C57B1D2E5C",81,82,75,"98C57B1D2E5C",258,258
"5231F7FC4320",58,60,56,"5231F7FC4320",259,259
"1C0C676F6404",62,84,75,"1C0C676F6404",260,260
"8A952A2D7D1A",61,70,65,"8A952A2D7D1A",261,261
"F9994998CC67",69,68,76,"F9994998CC67",262,262
"C2719A2BC6E0",76,72,76,"C2719A2BC6E0",263,263
"3CC1A93E1853",66,60,56,"3CC1A93E1853",264,264
"A2D8C0C04E1E",74,70,65,"A2D8C0C04E1E",265,265
"278DEF78BEC1",57,62,56,"278DEF78BEC1",266,266
"ACCB4E96A23C",67,71,65,"ACCB4E96A23C",267,267
"6165661F1FD3",66,72,76,"6165661F1FD3",268,268
"EF35905E7B1F",52,63,56,"EF35905E7B1F",269,269
"BD5932B3BD71",90,72,65,"BD5932B3BD71",270,270
"57789A1110EB",80,73,76,"57789A1110EB",271,271
"1A13D6CCAE8E",61,73,65,"1A13D6CCAE8E",272,272
"DBF6650049AE",56,73,76,"DBF6650049AE",273,273
"3806A01744EC",60,77,65,"3806A01744EC",274,274
"029F2F46E208",68,74,76,"029F2F46E208",275,275
"A49C2A63E851",47,64,56,"A49C2A63E851",276,276
"E1E4E56C0276",56,60,66,"E1E4E56C0276",277,277
"CE3C4FE15187",73,74,76,"CE3C4FE15187",278,278
"7D40083BCBC1",39,54,47,"7D40083BCBC1",279,279
"224EB4ACD536",45,56,47,"224EB4ACD536",280,280
"CC1C1725F728",65,57,47,"CC1C1725F728",281,281
"563ADEA2D777",85,74,76,"563ADEA2D777",282,282
"8EEC776A43D9",61,65,56,"8EEC776A43D9",283,283
"E31B8A46282D",39,43,48,"E31B8A46282D",284,284
"A94B66617C21",59,75,76,"A94B66617C21",285,285
"B10E0949211E",47,47,48,"B10E0949211E",286,286
"975B6F95D4AE",70,66,56,"975B6F95D4AE",287,287
"7286040E7974",75,75,76,"7286040E7974",288,288
"52A74FEAFA2B",76,76,76,"52A74FEAFA2B",289,289
"1F1DB4F82983",39,54,57,"1F1DB4F82983",290,290
"6578EB41D207",58,56,57,"6578EB41D207",291,291
"A94491B61F15",58,49,48,"A94491B61F15",292,292
"B86511A16115",42,57,57,"B86511A16115",293,293
"66F1CCAB0182",75,76,76,"66F1CCAB0182",294,294
"EAD8E09DFA79",48,51,48,"EAD8E09DFA79",295,295
"FB2C3926D4EF",63,57,57,"FB2C3926D4EF",296,296
"F50EFA167C35",73,76,76,"F50EFA167C35",297,297
"8D0AD0B0F306",43,57,57,"8D0AD0B0F306",298,298
"A2F665623C4F",82,76,76,"A2F665623C4F",299,299
"9C340292AC83",78,61,66,"9C340292AC83",300,300
"8618601C8824",52,58,57,"8618601C8824",301,301
"E93F19AAA1E1",62,61,66,"E93F19AAA1E1",302,302
"C956E9858E3E",71,77,76,"C956E9858E3E",303,303
"ABAD74B3A465",79,77,76,"ABAD74B3A465",304,304
"74D18C5B476A",72,77,76,"74D18C5B476A",305,305
"F62BA0EBE1F4",60,78,76,"F62BA0EBE1F4",306,306
"078C9D6C7846",56,62,66,"078C9D6C7846",307,307
"BDB1E4A411D2",64,78,76,"BDB1E4A411D2",308,308
"0B93C820D727",59,63,66,"0B93C820D727",309,309
"E73A11C8FA77",38,58,57,"E73A11C8FA77",310,310
"97DA59B1F1C8",54,59,57,"97DA59B1F1C8",311,311
"869A0ACEB1DE",86,78,76,"869A0ACEB1DE",312,312
"5189D8C1F336",66,59,57,"5189D8C1F336",313,313
"93D484D71799",51,52,48,"93D484D71799",314,314
"1BD6E6A550A1",59,59,57,"1BD6E6A550A1",315,315
"BDE86DC495C6",42,53,48,"BDE86DC495C6",316,316
"63188317312F",61,63,66,"63188317312F",317,317
"E18AB12AB162",58,56,48,"E18AB12AB162",318,318
"C1FE5D19F013",86,64,66,"C1FE5D19F013",319,319
"226866F9C863",50,56,48,"226866F9C863",320,320
"B303BB730654",74,79,76,"B303BB730654",321,321
"CD9944E34A1B",69,64,66,"CD9944E34A1B",322,322
"7871AA9DD084",47,41,49,"7871AA9DD084",323,323
"922109685F29",66,65,66,"922109685F29",324,324
"7D39374EC805",79,79,76,"7D39374EC805",325,325
"F0D469E44A0F",56,65,66,"F0D469E44A0F",326,326
"2E217CBBFD14",69,81,76,"2E217CBBFD14",327,327
"2E3EA6868028",60,65,66,"2E3EA6868028",328,328
"BA41D2DBD884",71,81,76,"BA41D2DBD884",329,329
"A599129D0F26",75,65,66,"A599129D0F26",330,330
"0409A342D107",66,82,76,"0409A342D107",331,331
"74B8C805F3D9",56,42,49,"74B8C805F3D9",332,332
"E955849C4B86",85,83,76,"E955849C4B86",333,333
"17106B3281C1",51,47,49,"17106B3281C1",334,334
"E4D35FFFEE48",74,91,76,"E4D35FFFEE48",335,335
"233208F4FE32",77,65,66,"233208F4FE32",336,336
"321E963F5D2A",70,65,66,"321E963F5D2A",337,337
"6609C7960EAA",54,65,66,"6609C7960EAA",338,338
"19D32C291DDF",28,49,49,"19D32C291DDF",339,339
"17DEC51E5DFC",68,66,66,"17DEC51E5DFC",340,340
"6A89E12B5DEC",52,50,49,"6A89E12B5DEC",341,341
"28017C810D08",53,50,49,"28017C810D08",342,342
"165285871EF4",61,51,49,"165285871EF4",343,343
"FAB8D651298F",53,51,49,"FAB8D651298F",344,344
"CF51A52CD06A",40,53,49,"CF51A52CD06A",345,345
"BB3CCFB22F7B",44,56,49,"BB3CCFB22F7B",346,346
"05A1EBB67463",71,67,66,"05A1EBB67463",347,347
"5E8E25E0E08D",69,60,57,"5E8E25E0E08D",348,348
"61A8766708E7",53,60,49,"61A8766708E7",349,349
"4CA8AC460BAD",45,60,57,"4CA8AC460BAD",350,350
"00A86A3C467B",32,48,50,"00A86A3C467B",351,351
"446C38A82833",75,61,57,"446C38A82833",352,352
"4A333A23C5D0",71,67,66,"4A333A23C5D0",353,353
"16DC7150CCD8",65,61,57,"16DC7150CCD8",354,354
"BA9D19F0E1C1",73,67,66,"BA9D19F0E1C1",355,355
"19722F5952DD",53,50,50,"19722F5952DD",356,356
"9555F6ACDE13",52,63,57,"9555F6ACDE13",357,357
"D3B75D5A27F7",83,67,66,"D3B75D5A27F7",358,358
"2C2CADABA5B9",65,67,66,"2C2CADABA5B9",359,359
"5F73E8A5C12D",50,51,50,"5F73E8A5C12D",360,360
"A2FFFCBD3D99",73,63,57,"A2FFFCBD3D99",361,361
"1B88E8DF360F",70,67,66,"1B88E8DF360F",362,362
"03E9B1593CBA",88,72,77,"03E9B1593CBA",363,363
"0122E35F1919",74,65,57,"0122E35F1919",364,364
"A21613612F0D",58,67,66,"A21613612F0D",365,365
"6EE9A7526F8F",74,73,77,"6EE9A7526F8F",366,366
"4322895D34FF",67,65,57,"4322895D34FF",367,367
"39FA45B7DC20",74,69,66,"39FA45B7DC20",368,368
"62AC5143150B",51,67,57,"62AC5143150B",369,369
"9ABD506FE024",77,69,66,"9ABD506FE024",370,370
"168F35937296",65,68,57,"168F35937296",371,371
"E4D12A1EC897",73,73,77,"E4D12A1EC897",372,372
"2A8732C4F5C2",67,70,66,"2A8732C4F5C2",373,373
"D2FBBE842488",51,52,58,"D2FBBE842488",374,374
"9495216FD8AA",62,70,66,"9495216FD8AA",375,375
"1A9B276FB346",65,56,58,"1A9B276FB346",376,376
"87F427094745",66,70,66,"87F427094745",377,377
"1D6A51BCD702",70,70,66,"1D6A51BCD702",378,378
"C47F958ADF64",60,74,77,"C47F958ADF64",379,379
"B8C8AA0F6A72",92,74,77,"B8C8AA0F6A72",380,380
"35A31E2FB72F",78,74,77,"35A31E2FB72F",381,381
"589C6B138C1A",49,57,58,"589C6B138C1A",382,382
"49BA5F7B8BCA",78,72,66,"49BA5F7B8BCA",383,383
"0A2F3D1EAC79",65,75,77,"0A2F3D1EAC79",384,384
"CBF82FFD35DE",61,57,58,"CBF82FFD35DE",385,385
"C1F066AD475D",72,75,77,"C1F066AD475D",386,386
"325C2D277D3F",68,76,77,"325C2D277D3F",387,387
"E513901FA3C6",58,77,77,"E513901FA3C6",388,388
"7EDBB8F1D71C",78,77,77,"7EDBB8F1D71C",389,389
"8F98FAED8372",85,73,66,"8F98FAED8372",390,390
"F5221FAF3D22",76,73,66,"F5221FAF3D22",391,391
"B79537E22F9F",69,61,67,"B79537E22F9F",392,392
"A5A44CFE114D",56,59,58,"A5A44CFE114D",393,393
"0304022FC741",75,62,67,"0304022FC741",394,394
"D04CD3B2E453",59,60,58,"D04CD3B2E453",395,395
"0D2E9EB0A950",49,63,67,"0D2E9EB0A950",396,396
"685E2F3C546D",56,65,67,"685E2F3C546D",397,397
"7AC55AD8DB89",62,66,67,"7AC55AD8DB89",398,398
"B0EEAAF4FAEF",70,67,67,"B0EEAAF4FAEF",399,399
"FF22679D9BC8",73,77,77,"FF22679D9BC8",400,400
"47391A9A8ACD",67,67,67,"47391A9A8ACD",401,401
"782682A38E93",80,78,77,"782682A38E93",402,402
"62E4CAED39FD",59,79,77,"62E4CAED39FD",403,403
"C4EE54CE9551",74,67,67,"C4EE54CE9551",404,404
"FDFB401FB111",70,79,77,"FDFB401FB111",405,405
"56B21BB78916",74,83,85,"56B21BB78916",406,406
"36D5545BFA4D",55,67,67,"36D5545BFA4D",407,407
"796D385FDBF8",73,84,85,"796D385FDBF8",408,408
"EFC8DCB1139C",87,67,67,"EFC8DCB1139C",409,409
"8AEB22EA9D82",93,85,85,"8AEB22EA9D82",410,410
"CD8FB8898D24",57,68,67,"CD8FB8898D24",411,411
"E8450AABFAE0",82,86,85,"E8450AABFAE0",412,412
"7379CFC3AC91",84,88,85,"7379CFC3AC91",413,413
"C27A73C1E958",65,61,58,"C27A73C1E958",414,414
"35587BE80172",75,68,67,"35587BE80172",415,415
"743680BE1054",79,89,85,"743680BE1054",416,416
"5C6E4E772A46",52,61,58,"5C6E4E772A46",417,417
"4221B685538D",77,69,67,"4221B685538D",418,418
"4A660B4E1D12",100,91,85,"4A660B4E1D12",419,419
"37808CD38737",70,62,58,"37808CD38737",420,420
"00286B0CC7E8",75,70,67,"00286B0CC7E8",421,421
"1130955A6644",58,64,58,"1130955A6644",422,422
"C01EAFEA58A1",89,92,85,"C01EAFEA58A1",423,423
"7BB547276B1E",80,70,67,"7BB547276B1E",424,424
"42FB56EC8C78",92,92,85,"42FB56EC8C78",425,425
"5BFE009AF2B7",52,66,58,"5BFE009AF2B7",426,426
"ECC06C13AD29",58,70,67,"ECC06C13AD29",427,427
"C5B96B45072B",73,94,85,"C5B96B45072B",428,428
"D271E08199D1",63,69,58,"D271E08199D1",429,429
"0D61BA602316",68,70,58,"0D61BA602316",430,430
"B3B622408D13",76,81,86,"B3B622408D13",431,431
"A0E856172798",74,83,86,"A0E856172798",432,432
"5E739E6D8A2E",91,83,86,"5E739E6D8A2E",433,433
"A9A1C46CCD43",81,83,86,"A9A1C46CCD43",434,434
"E26EB2269D25",44,54,59,"E26EB2269D25",435,435
"8436CBC3C15C",63,79,77,"8436CBC3C15C",436,436
"22A3124CE238",82,83,86,"22A3124CE238",437,437
"CBDFAF9B7616",93,80,77,"CBDFAF9B7616",438,438
"0DED9F9A8E71",94,84,86,"0DED9F9A8E71",439,439
"5E2828C74273",88,82,77,"5E2828C74273",440,440
"82B43EA3DA70",82,82,77,"82B43EA3DA70",441,441
"7B3C7D120C7A",89,88,77,"7B3C7D120C7A",442,442
"48308204DEAB",75,70,67,"48308204DEAB",443,443
"75098DACE4FD",50,56,59,"75098DACE4FD",444,444
"94C322D12EAA",71,86,86,"94C322D12EAA",445,445
"F70C456BED4E",67,72,78,"F70C456BED4E",446,446
"22DD464BA2AB",70,71,67,"22DD464BA2AB",447,447
"E0C4F7D14B55",45,59,59,"E0C4F7D14B55",448,448
"D9CC11ECB4CD",79,86,86,"D9CC11ECB4CD",449,449
"1C12888E215A",72,72,78,"1C12888E215A",450,450
"70318659DA49",87,86,86,"70318659DA49",451,451
"54200F61AF70",76,59,59,"54200F61AF70",452,452
"4948C2745C80",69,73,78,"4948C2745C80",453,453
"28C179918559",66,86,86,"28C179918559",454,454
"38CD7CA404EF",56,60,59,"38CD7CA404EF",455,455
